File............:  2026-07-22_cv_cell_5 - JUL,22.2026

System..........:  1624_BZm282_020c
Temperature.....:  -0.6+-0.0C
Time............:  13:45:23-13:48:34
Slewrate........:  20mV/s
Comment.........:  CV Cell05
                   
                   
                   
                   
Electr.area/sqcm:  282
Reference.......:   0.3849688,  0.2500000 PO/PF -3, 12319
Cyclic voltammogram

Lines:   6063
Columns: 3

Number     Time/s     Potential/V    Current/A 
237       7.434e+00      0.199219    1.9939e+00
238       7.466e+00      0.199844    1.9904e+00
239       7.497e+00      0.200469    1.9856e+00
240       7.529e+00      0.201094    1.9887e+00
241       7.560e+00      0.201719    2.0307e+00
242       7.592e+00      0.202344    2.0170e+00
243       7.623e+00      0.203000    2.0559e+00
244       7.655e+00      0.203625    2.0157e+00
245       7.686e+00      0.204250    2.0585e+00
246       7.718e+00      0.204906    2.0215e+00
247       7.749e+00      0.205500    2.0889e+00
248       7.781e+00      0.206156    2.0607e+00
249       7.812e+00      0.206781    2.0887e+00
250       7.844e+00      0.207406    2.0833e+00
251       7.875e+00      0.208031    2.0822e+00
252       7.907e+00      0.208688    2.1019e+00
253       7.938e+00      0.209313    2.1015e+00
254       7.970e+00      0.209938    2.1228e+00
255       8.001e+00      0.210563    2.1365e+00
256       8.033e+00      0.211188    2.1545e+00
257       8.064e+00      0.211813    2.1481e+00
258       8.096e+00      0.212438    2.1392e+00
259       8.127e+00      0.213094    2.1495e+00
260       8.159e+00      0.213719    2.1722e+00
261       8.190e+00      0.214344    2.1672e+00
262       8.222e+00      0.214969    2.2004e+00
263       8.253e+00      0.215594    2.1722e+00
264       8.285e+00      0.216250    2.2024e+00
265       8.316e+00      0.216875    2.1689e+00
266       8.348e+00      0.217500    2.2354e+00
267       8.379e+00      0.218125    2.1941e+00
268       8.411e+00      0.218781    2.2380e+00
269       8.442e+00      0.219406    2.1991e+00
270       8.474e+00      0.220031    2.2219e+00
271       8.505e+00      0.220656    2.2145e+00
272       8.537e+00      0.221281    2.2220e+00
273       8.568e+00      0.221906    2.2296e+00
274       8.600e+00      0.222563    2.2316e+00
275       8.631e+00      0.223188    2.2280e+00
276       8.663e+00      0.223813    2.2233e+00
277       8.694e+00      0.224438    2.2046e+00
278       8.726e+00      0.225094    2.2148e+00
279       8.757e+00      0.225688    2.2159e+00
280       8.789e+00      0.226344    2.2516e+00
281       8.820e+00      0.226969    2.2515e+00
282       8.852e+00      0.227594    2.1905e+00
283       8.883e+00      0.228219    2.2092e+00
284       8.915e+00      0.228875    2.1643e+00
285       8.946e+00      0.229500    2.2072e+00
286       8.978e+00      0.230125    2.1544e+00
287       9.009e+00      0.230750    2.1889e+00
288       9.041e+00      0.231375    2.1334e+00
289       9.072e+00      0.232000    2.1474e+00
290       9.104e+00      0.232656    2.1130e+00
291       9.135e+00      0.233281    2.1110e+00
292       9.167e+00      0.233906    2.1036e+00
293       9.198e+00      0.234531    2.1078e+00
294       9.230e+00      0.235156    2.0763e+00
295       9.261e+00      0.235781    2.0620e+00
296       9.293e+00      0.236438    2.0337e+00
297       9.324e+00      0.237063    2.0393e+00
298       9.356e+00      0.237688    2.0174e+00
299       9.387e+00      0.238313    2.0114e+00
300       9.419e+00      0.238969    1.9981e+00
301       9.450e+00      0.239594    1.9619e+00
302       9.482e+00      0.240219    1.9715e+00
303       9.513e+00      0.240844    1.9058e+00
304       9.545e+00      0.241469    1.9457e+00
305       9.576e+00      0.242094    1.8896e+00
306       9.608e+00      0.242750    1.9189e+00
307       9.639e+00      0.243375    1.8462e+00
308       9.671e+00      0.244000    1.8741e+00
309       9.702e+00      0.244625    1.8152e+00
310       9.734e+00      0.245250    1.8347e+00
311       9.765e+00      0.245875    1.7977e+00
312       9.797e+00      0.246531    1.8051e+00
313       9.828e+00      0.247156    1.7766e+00
314       9.860e+00      0.247781    1.7699e+00
315       9.891e+00      0.248406    1.7175e+00
316       9.923e+00      0.249063    1.7340e+00
317       9.954e+00      0.249688    1.7168e+00
318       9.986e+00      0.250313    1.7195e+00
319       1.002e+01      0.250938    1.6953e+00
320       1.005e+01      0.251563    1.6755e+00
321       1.008e+01      0.252188    1.6630e+00
322       1.011e+01      0.252844    1.6396e+00
323       1.014e+01      0.253469    1.6503e+00
324       1.017e+01      0.254094    1.6081e+00
325       1.021e+01      0.254719    1.6455e+00
326       1.024e+01      0.255344    1.5854e+00
327       1.027e+01      0.255969    1.6082e+00
328       1.030e+01      0.256625    1.5619e+00
329       1.033e+01      0.257250    1.5882e+00
330       1.036e+01      0.257875    1.5631e+00
331       1.040e+01      0.258500    1.6628e+00
332       1.043e+01      0.259156    1.5508e+00
333       1.046e+01      0.259781    1.5523e+00
334       1.049e+01      0.260406    1.5042e+00
335       1.052e+01      0.261031    1.5248e+00
336       1.055e+01      0.261656    1.5052e+00
337       1.058e+01      0.262281    1.5152e+00
338       1.062e+01      0.262938    1.4894e+00
339       1.065e+01      0.263563    1.4920e+00
340       1.068e+01      0.264188    1.4699e+00
341       1.071e+01      0.264813    1.4622e+00
342       1.074e+01      0.265438    1.4779e+00
343       1.077e+01      0.266063    1.4528e+00
344       1.080e+01      0.266719    1.4819e+00
345       1.084e+01      0.267344    1.4286e+00
346       1.087e+01      0.267969    1.4573e+00
347       1.090e+01      0.268594    1.4141e+00
348       1.093e+01      0.269219    1.4463e+00
349       1.096e+01      0.269875    1.4135e+00
350       1.099e+01      0.270500    1.4367e+00
351       1.103e+01      0.271125    1.4122e+00
352       1.106e+01      0.271750    1.4215e+00
353       1.109e+01      0.272375    1.3869e+00
354       1.112e+01      0.273031    1.4112e+00
355       1.115e+01      0.273656    1.3905e+00
356       1.118e+01      0.274281    1.4175e+00
357       1.121e+01      0.274906    1.3872e+00
358       1.125e+01      0.275531    1.3955e+00
359       1.128e+01      0.276156    1.3780e+00
360       1.131e+01      0.276813    1.3797e+00
361       1.134e+01      0.277438    1.3871e+00
362       1.137e+01      0.278063    1.3645e+00
363       1.140e+01      0.278688    1.3972e+00
364       1.143e+01      0.279313    1.3571e+00
365       1.147e+01      0.279969    1.3866e+00
366       1.150e+01      0.280594    1.3497e+00
367       1.153e+01      0.281219    1.3801e+00
368       1.156e+01      0.281844    1.3513e+00
369       1.159e+01      0.282469    1.3888e+00
370       1.162e+01      0.283125    1.3472e+00
371       1.166e+01      0.283750    1.3720e+00
372       1.169e+01      0.284375    1.3354e+00
373       1.172e+01      0.285000    1.3642e+00
374       1.175e+01      0.285625    1.3354e+00
375       1.178e+01      0.286250    1.3645e+00
376       1.181e+01      0.286906    1.3356e+00
377       1.184e+01      0.287531    1.3634e+00
378       1.188e+01      0.288156    1.3324e+00
379       1.191e+01      0.288781    1.3424e+00
380       1.194e+01      0.289406    1.3403e+00
381       1.197e+01      0.290063    1.3560e+00
382       1.200e+01      0.290688    1.3633e+00
383       1.203e+01      0.291313    1.3321e+00
384       1.206e+01      0.291938    1.3566e+00
385       1.210e+01      0.292563    1.3200e+00
386       1.213e+01      0.293219    1.3539e+00
387       1.216e+01      0.293844    1.3251e+00
388       1.219e+01      0.294469    1.3500e+00
389       1.222e+01      0.295094    1.3214e+00
390       1.225e+01      0.295719    1.3458e+00
391       1.229e+01      0.296344    1.3102e+00
392       1.232e+01      0.297000    1.3460e+00
393       1.235e+01      0.297625    1.3141e+00
394       1.238e+01      0.298250    1.3524e+00
395       1.241e+01      0.298875    1.3137e+00
396       1.244e+01      0.299500    1.3501e+00
397       1.247e+01      0.300156    1.3050e+00
398       1.251e+01      0.300781    1.3329e+00
399       1.254e+01      0.301406    1.3198e+00
400       1.257e+01      0.302031    1.3244e+00
401       1.260e+01      0.302688    1.3324e+00
402       1.263e+01      0.303281    1.3217e+00
403       1.266e+01      0.303938    1.3334e+00
404       1.269e+01      0.304563    1.3111e+00
405       1.273e+01      0.305188    1.3340e+00
406       1.276e+01      0.305813    1.3122e+00
407       1.279e+01      0.306438    1.3394e+00
408       1.282e+01      0.307094    1.3092e+00
409       1.285e+01      0.307719    1.3355e+00
410       1.288e+01      0.308344    1.2984e+00
411       1.292e+01      0.308969    1.3353e+00
412       1.295e+01      0.309594    1.3018e+00
413       1.298e+01      0.310250    1.3351e+00
414       1.301e+01      0.310875    1.2969e+00
415       1.304e+01      0.311500    1.3377e+00
416       1.307e+01      0.312125    1.2899e+00
417       1.310e+01      0.312781    1.3251e+00
418       1.314e+01      0.313375    1.2973e+00
419       1.317e+01      0.314031    1.3268e+00
420       1.320e+01      0.314656    1.3107e+00
421       1.323e+01      0.315281    1.3107e+00
422       1.326e+01      0.315906    1.3106e+00
423       1.329e+01      0.316531    1.2969e+00
424       1.332e+01      0.317188    1.3155e+00
425       1.336e+01      0.317813    1.2970e+00
426       1.339e+01      0.318438    1.3163e+00
427       1.342e+01      0.319063    1.2944e+00
428       1.345e+01      0.319688    1.3140e+00
429       1.348e+01      0.320344    1.2867e+00
430       1.351e+01      0.320969    1.3091e+00
431       1.355e+01      0.321594    1.2863e+00
432       1.358e+01      0.322219    1.3277e+00
433       1.361e+01      0.322875    1.2826e+00
434       1.364e+01      0.323469    1.3137e+00
435       1.367e+01      0.324125    1.2661e+00
436       1.370e+01      0.324750    1.3062e+00
437       1.373e+01      0.325375    1.2688e+00
438       1.377e+01      0.326000    1.3078e+00
439       1.380e+01      0.326656    1.2805e+00
440       1.383e+01      0.327281    1.2855e+00
441       1.386e+01      0.327906    1.2821e+00
442       1.389e+01      0.328531    1.2766e+00
443       1.392e+01      0.329156    1.2840e+00
444       1.395e+01      0.329781    1.2717e+00
445       1.399e+01      0.330438    1.2865e+00
446       1.402e+01      0.331063    1.2676e+00
447       1.405e+01      0.331688    1.2788e+00
448       1.408e+01      0.332313    1.2585e+00
449       1.411e+01      0.332969    1.2852e+00
450       1.414e+01      0.333563    1.2570e+00
451       1.418e+01      0.334219    1.2799e+00
452       1.421e+01      0.334844    1.2513e+00
453       1.424e+01      0.335469    1.2819e+00
454       1.427e+01      0.336094    1.2379e+00
455       1.430e+01      0.336750    1.2760e+00
456       1.433e+01      0.337375    1.2370e+00
457       1.436e+01      0.338000    1.2807e+00
458       1.440e+01      0.338625    1.2439e+00
459       1.443e+01      0.339250    1.2577e+00
460       1.446e+01      0.339875    1.2451e+00
461       1.449e+01      0.340531    1.2444e+00
462       1.452e+01      0.341156    1.2485e+00
463       1.455e+01      0.341781    1.2405e+00
464       1.458e+01      0.342406    1.2542e+00
465       1.462e+01      0.343063    1.2364e+00
466       1.465e+01      0.343656    1.2480e+00
467       1.468e+01      0.344313    1.2311e+00
468       1.471e+01      0.344938    1.2425e+00
469       1.474e+01      0.345563    1.2317e+00
470       1.477e+01      0.346188    1.2461e+00
471       1.481e+01      0.346844    1.2207e+00
472       1.484e+01      0.347469    1.2444e+00
473       1.487e+01      0.348094    1.2070e+00
474       1.490e+01      0.348719    1.2460e+00
475       1.493e+01      0.349344    1.2033e+00
476       1.496e+01      0.349969    1.2458e+00
477       1.499e+01      0.350625    1.2076e+00
478       1.503e+01      0.351250    1.2334e+00
479       1.506e+01      0.351875    1.2098e+00
480       1.509e+01      0.352500    1.2220e+00
481       1.512e+01      0.353156    1.2124e+00
482       1.515e+01      0.353750    1.2197e+00
483       1.518e+01      0.354406    1.2284e+00
484       1.521e+01      0.355031    1.2072e+00
485       1.525e+01      0.355656    1.2102e+00
486       1.528e+01      0.356281    1.2042e+00
487       1.531e+01      0.356938    1.2163e+00
488       1.534e+01      0.357563    1.2049e+00
489       1.537e+01      0.358188    1.2109e+00
490       1.540e+01      0.358813    1.1952e+00
491       1.544e+01      0.359438    1.2136e+00
492       1.547e+01      0.360063    1.1846e+00
493       1.550e+01      0.360719    1.2201e+00
494       1.553e+01      0.361344    1.1822e+00
495       1.556e+01      0.361969    1.2240e+00
496       1.559e+01      0.362594    1.1762e+00
497       1.562e+01      0.363250    1.2087e+00
498       1.566e+01      0.363844    1.1804e+00
499       1.569e+01      0.364500    1.2028e+00
500       1.572e+01      0.365125    1.1854e+00
501       1.575e+01      0.365750    1.1991e+00
502       1.578e+01      0.366375    1.1874e+00
503       1.581e+01      0.367031    1.1850e+00
504       1.584e+01      0.367656    1.1848e+00
505       1.588e+01      0.368281    1.1863e+00
506       1.591e+01      0.368906    1.1908e+00
507       1.594e+01      0.369531    1.1842e+00
508       1.597e+01      0.370156    1.1873e+00
509       1.600e+01      0.370813    1.1802e+00
510       1.603e+01      0.371438    1.1894e+00
511       1.607e+01      0.372063    1.1691e+00
512       1.610e+01      0.372688    1.1958e+00
513       1.613e+01      0.373313    1.1665e+00
514       1.616e+01      0.373938    1.1975e+00
515       1.619e+01      0.374594    1.1616e+00
516       1.622e+01      0.375219    1.1982e+00
517       1.625e+01      0.375844    1.1608e+00
518       1.629e+01      0.376469    1.1845e+00
519       1.632e+01      0.377125    1.1673e+00
520       1.635e+01      0.377750    1.1844e+00
521       1.638e+01      0.378375    1.1678e+00
522       1.641e+01      0.379000    1.1698e+00
523       1.644e+01      0.379625    1.1696e+00
524       1.647e+01      0.380250    1.1714e+00
525       1.651e+01      0.380906    1.1679e+00
526       1.654e+01      0.381531    1.1693e+00
527       1.657e+01      0.382156    1.1722e+00
528       1.660e+01      0.382781    1.1604e+00
529       1.663e+01      0.383406    1.1709e+00
530       1.666e+01      0.384031    1.1623e+00
531       1.670e+01      0.384688    1.1757e+00
532       1.673e+01      0.385313    1.1539e+00
533       1.676e+01      0.385938    1.1906e+00
534       1.679e+01      0.386563    1.1539e+00
535       1.682e+01      0.387219    1.1839e+00
536       1.685e+01      0.387844    1.1442e+00
537       1.688e+01      0.388469    1.1753e+00
538       1.692e+01      0.389094    1.1523e+00
539       1.695e+01      0.389719    1.1701e+00
540       1.698e+01      0.390344    1.1543e+00
541       1.701e+01      0.391000    1.1628e+00
542       1.704e+01      0.391625    1.1519e+00
543       1.707e+01      0.392250    1.1598e+00
544       1.710e+01      0.392875    1.1533e+00
545       1.714e+01      0.393500    1.1635e+00
546       1.717e+01      0.394125    1.1569e+00
547       1.720e+01      0.394781    1.1562e+00
548       1.723e+01      0.395406    1.1577e+00
549       1.726e+01      0.396031    1.1537e+00
550       1.729e+01      0.396656    1.1594e+00
551       1.733e+01      0.397313    1.1455e+00
552       1.736e+01      0.397938    1.1653e+00
553       1.739e+01      0.398563    1.1442e+00
554       1.742e+01      0.399188    1.1696e+00
555       1.745e+01      0.399813    1.1374e+00
556       1.748e+01      0.400438    1.1670e+00
557       1.751e+01      0.401094    1.1422e+00
558       1.755e+01      0.401719    1.1615e+00
559       1.758e+01      0.402344    1.1455e+00
560       1.761e+01      0.402969    1.1578e+00
561       1.764e+01      0.403594    1.1444e+00
562       1.767e+01      0.404219    1.1567e+00
563       1.770e+01      0.404875    1.1461e+00
564       1.773e+01      0.405500    1.1566e+00
565       1.777e+01      0.406125    1.1471e+00
566       1.780e+01      0.406750    1.1448e+00
567       1.783e+01      0.407375    1.1477e+00
568       1.786e+01      0.408031    1.1470e+00
569       1.789e+01      0.408656    1.1490e+00
570       1.792e+01      0.409281    1.1398e+00
571       1.796e+01      0.409906    1.1563e+00
572       1.799e+01      0.410531    1.1409e+00
573       1.802e+01      0.411188    1.1599e+00
574       1.805e+01      0.411813    1.1345e+00
575       1.808e+01      0.412438    1.1601e+00
576       1.811e+01      0.413063    1.1354e+00
577       1.814e+01      0.413688    1.1591e+00
578       1.818e+01      0.414313    1.1368e+00
579       1.821e+01      0.414969    1.1574e+00
580       1.824e+01      0.415594    1.1389e+00
581       1.827e+01      0.416219    1.1547e+00
582       1.830e+01      0.416844    1.1375e+00
583       1.833e+01      0.417469    1.1561e+00
584       1.836e+01      0.418125    1.1421e+00
585       1.840e+01      0.418750    1.1499e+00
586       1.843e+01      0.419375    1.1383e+00
587       1.846e+01      0.420000    1.1483e+00
588       1.849e+01      0.420625    1.1398e+00
589       1.852e+01      0.421281    1.1404e+00
590       1.855e+01      0.421906    1.1475e+00
591       1.859e+01      0.422531    1.1371e+00
592       1.862e+01      0.423156    1.1536e+00
593       1.865e+01      0.423781    1.1337e+00
594       1.868e+01      0.424406    1.1535e+00
595       1.871e+01      0.425063    1.1315e+00
596       1.874e+01      0.425688    1.1536e+00
597       1.877e+01      0.426313    1.1336e+00
598       1.881e+01      0.426938    1.1518e+00
599       1.884e+01      0.427563    1.1342e+00
600       1.887e+01      0.428219    1.1511e+00
601       1.890e+01      0.428844    1.1360e+00
602       1.893e+01      0.429469    1.1526e+00
603       1.896e+01      0.430094    1.1303e+00
604       1.899e+01      0.430719    1.1514e+00
605       1.903e+01      0.431375    1.1358e+00
606       1.906e+01      0.432000    1.1496e+00
607       1.909e+01      0.432625    1.1351e+00
608       1.912e+01      0.433250    1.1402e+00
609       1.915e+01      0.433875    1.1425e+00
610       1.918e+01      0.434500    1.1373e+00
611       1.922e+01      0.435156    1.1484e+00
612       1.925e+01      0.435781    1.1356e+00
613       1.928e+01      0.436406    1.1499e+00
614       1.931e+01      0.437031    1.1289e+00
615       1.934e+01      0.437656    1.1524e+00
